Доля стран в мировом ВВП в процентах,,,,,
Данные за последние 5 лет,,,,,
,,,,,
Страна,2016,2017,2018,2019,2020
Австралия,"1,016","1,013","1,006","0,999","1,01"
Австрия,"0,398","0,394","0,391","0,386","0,373"
Азербайджан,"0,121","0,114","0,112","0,112","0,111"
Албания,"0,03","0,031","0,031","0,031","0,031"
Алжир,"0,408","0,399","0,39","0,383","0,373"
Ангола,"0,177","0,179","0,17","0,164","0,163"
Антигуа и Барбуда,"0,002","0,002","0,002","0,002","0,001"
Аргентина,"0,766","0,854","0,804","0,767","0,715"
Армения,"0,027","0,029","0,03","0,031","0,03"
Аруба,"0,003","0,003","0,003","0,003","0,002"
Афганистан,"0,061","0,061","0,06","0,061","0,06"
Багамские острова,"0,011","0,011","0,011","0,011","0,01"
Бангладеш,"0,563","0,584","0,609","0,645","0,664"
Барбадос,"0,004","0,004","0,004","0,003","0,003"
Бахрейн,"0,055","0,059","0,058","0,057","0,056"
Белиз,"0,002","0,002","0,002","0,002","0,002"
Белоруссия,"0,146","0,143","0,142","0,14","0,144"
Бельгия,"0,477","0,473","0,465","0,461","0,447"
Бенин,"0,028","0,028","0,029","0,03","0,032"
Болгария,"0,123","0,125","0,124","0,126","0,125"
Боливия,"0,072","0,077","0,078","0,078","0,074"
Босния и Герцеговина,"0,038","0,038","0,038","0,038","0,037"
Ботсвана,"0,032","0,031","0,032","0,032","0,03"
Бразилия,"2,544","2,481","2,44","2,41","2,395"
Бруней-Даруссалам,"0,02","0,021","0,021","0,021","0,022"
Буркина-Фасо,"0,031","0,032","0,033","0,034","0,036"
Бурунди,"0,007","0,007","0,007","0,007","0,007"
Бутан,"0,006","0,007","0,007","0,007","0,007"
Вануату,"0,001","0,001","0,001","0,001","0,001"
Великобритания,"2,507","2,492","2,438","2,409","2,248"
Венгрия,"0,237","0,24","0,244","0,249","0,245"
Венесуэла,"0,378","0,308","0,239","0,152","0,11"
Восточный Тимор,"0,003","0,003","0,003","0,004","0,003"
Вьетнам,"0,667","0,699","0,724","0,754","0,804"
Габон,"0,025","0,025","0,025","0,025","0,026"
Гаити,"0,028","0,027","0,026","0,025","0,025"
Гайана,"0,008","0,008","0,008","0,008","0,012"
Гамбия,"0,004","0,004","0,004","0,004","0,004"
Гана,"0,121","0,12","0,123","0,127","0,133"
Гватемала,"0,113","0,11","0,11","0,111","0,113"
Гвинея,"0,021","0,024","0,025","0,025","0,028"
Гвинея-Бисау,"0,003","0,003","0,003","0,003","0,003"
Германия,"3,605","3,617","3,539","3,466","3,416"
